series_type,series_id,forecast_timestamp,forecast_revenue,feature,feature_value,shap_value,direction,base_value
category,Electronics & Computing,2018-09-09,30145.91796875,day_of_week,6.0,0.0,neutral,19808.994140625
category,Electronics & Computing,2018-09-09,30145.91796875,is_weekend,1.0,0.0,neutral,19808.994140625
category,Electronics & Computing,2018-09-09,30145.91796875,days_to_month_end,21.0,204.26934814453125,up,19808.994140625
category,Electronics & Computing,2018-09-09,30145.91796875,month_sin,-1.0,2647.376708984375,up,19808.994140625
category,Electronics & Computing,2018-09-09,30145.91796875,month_cos,-1.8369701987210297e-16,481.57244873046875,up,19808.994140625
category,Electronics & Computing,2018-09-09,30145.91796875,week_sin,-0.9350162426854147,-479.9440002441406,down,19808.994140625
category,Electronics & Computing,2018-09-09,30145.91796875,week_cos,-0.3546048870425359,1330.0543212890625,up,19808.994140625
category,Electronics & Computing,2018-09-16,24562.59765625,lag_1,30145.91796875,527.3281860351562,up,19808.994140625
category,Electronics & Computing,2018-09-16,24562.59765625,lag_4,20686.52,1329.9290771484375,up,19808.994140625
category,Electronics & Computing,2018-09-16,24562.59765625,lag_52,20910.57,2200.246337890625,up,19808.994140625
category,Electronics & Computing,2018-09-16,24562.59765625,rolling_mean_4,25672.7693359375,-1033.7047119140625,down,19808.994140625
category,Electronics & Computing,2018-09-16,24562.59765625,rolling_std_4,11824.859323418585,-74.32514190673828,down,19808.994140625
category,Electronics & Computing,2018-09-16,24562.59765625,year,2018.0,45.267547607421875,up,19808.994140625
category,Electronics & Computing,2018-09-16,24562.59765625,month,9.0,400.0559387207031,up,19808.994140625
category,Electronics & Computing,2018-09-16,24562.59765625,quarter,3.0,0.0,neutral,19808.994140625
category,Electronics & Computing,2018-09-16,24562.59765625,week_of_year,37.0,-1962.30419921875,down,19808.994140625
category,Electronics & Computing,2018-09-16,24562.59765625,day_of_week,6.0,0.0,neutral,19808.994140625
category,Electronics & Computing,2018-09-16,24562.59765625,is_weekend,1.0,0.0,neutral,19808.994140625
category,Electronics & Computing,2018-09-16,24562.59765625,days_to_month_end,14.0,-563.1978759765625,down,19808.994140625
category,Electronics & Computing,2018-09-16,24562.59765625,month_sin,-1.0,2612.0048828125,up,19808.994140625
category,Electronics & Computing,2018-09-16,24562.59765625,month_cos,-1.8369701987210297e-16,473.66094970703125,up,19808.994140625
category,Electronics & Computing,2018-09-16,24562.59765625,week_sin,-0.970941817426052,-140.21353149414062,down,19808.994140625
category,Electronics & Computing,2018-09-16,24562.59765625,week_cos,-0.23931566428755774,938.8709716796875,up,19808.994140625
category,Electronics & Computing,2018-09-23,15476.513671875,lag_1,24562.59765625,-375.8735046386719,down,19808.994140625
category,Electronics & Computing,2018-09-23,15476.513671875,lag_4,12245.78,-2851.09228515625,down,19808.994140625
category,Electronics & Computing,2018-09-23,15476.513671875,lag_52,13536.66,-748.0333251953125,down,19808.994140625
category,Electronics & Computing,2018-09-23,15476.513671875,rolling_mean_4,26641.78875,-1167.142578125,down,19808.994140625
category,Electronics & Computing,2018-09-23,15476.513671875,rolling_std_4,11432.347357022256,-480.4234313964844,down,19808.994140625
category,Electronics & Computing,2018-09-23,15476.513671875,year,2018.0,43.35669708251953,up,19808.994140625
category,Electronics & Computing,2018-09-23,15476.513671875,month,9.0,419.3825988769531,up,19808.994140625
category,Electronics & Computing,2018-09-23,15476.513671875,quarter,3.0,0.0,neutral,19808.994140625
category,Electronics & Computing,2018-09-23,15476.513671875,week_of_year,38.0,-2040.1483154296875,down,19808.994140625
category,Electronics & Computing,2018-09-23,15476.513671875,day_of_week,6.0,0.0,neutral,19808.994140625
category,Electronics & Computing,2018-09-23,15476.513671875,is_weekend,1.0,0.0,neutral,19808.994140625
category,Electronics & Computing,2018-09-23,15476.513671875,days_to_month_end,7.0,-1310.3355712890625,down,19808.994140625
category,Electronics & Computing,2018-09-23,15476.513671875,month_sin,-1.0,3328.340087890625,up,19808.994140625
category,Electronics & Computing,2018-09-23,15476.513671875,month_cos,-1.8369701987210297e-16,411.44842529296875,up,19808.994140625
category,Electronics & Computing,2018-09-23,15476.513671875,week_sin,-0.992708874098054,-487.9878234863281,down,19808.994140625
category,Electronics & Computing,2018-09-23,15476.513671875,week_cos,-0.12053668025532357,926.0415649414062,up,19808.994140625
category,Fashion & Accessories,2018-09-02,26277.419921875,lag_1,12406.16,553.3787841796875,up,19559.62890625
category,Fashion & Accessories,2018-09-02,26277.419921875,lag_4,32405.97,-1345.7724609375,down,19559.62890625
category,Fashion & Accessories,2018-09-02,26277.419921875,lag_52,20213.43,3234.407470703125,up,19559.62890625
category,Fashion & Accessories,2018-09-02,26277.419921875,rolling_mean_4,26768.835,2634.825927734375,up,19559.62890625
category,Fashion & Accessories,2018-09-02,26277.419921875,rolling_std_4,10045.548006682695,477.06280517578125,up,19559.62890625
category,Fashion & Accessories,2018-09-02,26277.419921875,year,2018.0,0.0,neutral,19559.62890625
category,Fashion & Accessories,2018-09-02,26277.419921875,month,9.0,449.7249755859375,up,19559.62890625
